"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"2017-08-31","Ashland Bottoms",28.2,12.7,76.5,0,1.2,7.0,26.9,21.7,28.7,21.0,25.2,4.47,5.22
"2017-09-01","Ashland Bottoms",27.1,13.2,80.9,0,0.9,4.7,24.9,22.0,26.1,21.4,13.5,2.87,3.41
"2017-09-02","Ashland Bottoms",31.3,16.8,72.2,0,1.6,6.2,26.7,22.2,28.5,21.8,23.2,4.87,5.96
"2017-09-03","Ashland Bottoms",33.9,14.3,71.9,0,1.4,4.8,27.7,22.4,29.6,21.9,23.1,5.06,6.32
"2017-09-04","Ashland Bottoms",28.6,18.5,61.3,0,2.6,7.3,27.1,23.9,28.5,23.8,19.7,5.17,7.05
"2017-09-05","Ashland Bottoms",23.9,9.2,51.7,0,2.6,9.3,25.8,22.2,27.1,21.4,25.8,5.06,6.89
"2017-09-06","Ashland Bottoms",24.2,5.9,61.1,0,1.5,9.0,24.5,19.6,25.9,18.5,25.1,4.24,5.44
"2017-09-07","Ashland Bottoms",29.2,6.2,59.0,0,1.1,5.2,25.1,19.0,26.9,18.0,24.8,4.42,5.59
"2017-09-08","Ashland Bottoms",32.2,13.6,48.3,0,2.2,8.4,25.9,20.7,27.8,20.2,23.8,5.79,7.93
"2017-09-09","Ashland Bottoms",30.0,13.4,53.2,0,2.2,8.0,25.7,21.0,27.4,20.4,23.0,5.31,7.19
"2017-09-10","Ashland Bottoms",28.8,17.2,58.2,0,1.9,7.1,25.3,21.9,26.6,21.5,18.2,4.32,5.67
"2017-09-11","Ashland Bottoms",29.4,12.6,61.1,0,1.0,5.6,26.3,21.0,28.2,20.5,22.3,4.08,4.92
"2017-09-12","Ashland Bottoms",27.9,10.8,69.4,0,0.9,5.3,25.6,20.9,27.2,20.2,19.7,3.56,4.30
"2017-09-13","Ashland Bottoms",32.0,10.7,61.3,0,1.2,5.0,26.0,20.6,27.9,19.9,22.0,4.48,5.74
